Date,Open,High,Low,Close
2016-10-3,118,119.010002,117.43,118.809998
2016-10-4,118.839996,119.480003,118.279999,118.82
2016-10-5,119.220001,119.440002,118.599998,119.18
2016-10-6,118.5,118.849998,117.919998,118.75
2016-10-7,119.169998,119.57,118.690002,119.239998
2016-10-10,119.510002,120.199997,119.349998,119.800003
2016-10-11,119.410004,119.629997,117.059998,117.639999
2016-10-12,117.959999,118.43,117.5,117.970001
2016-10-13,117.540001,119.199997,117.279999,118.260002
2016-10-14,118.5,118.800003,117.559998,117.559998
2016-10-17,117.5,118.550003,117.5,118.489998
2016-10-18,117.379997,118.480003,115.160004,115.410004
2016-10-19,115.57,115.889999,114.459999,114.589996
2016-10-20,114.830002,115.699997,114.589996,114.870003
2016-10-21,114.110001,114.239998,112.989998,113.440002
2016-10-24,113.93,114.190002,113.440002,113.610001
2016-10-25,113.639999,114.160004,113.089996,113.959999
2016-10-26,113.639999,115.220001,113.599998,114.559998
2016-10-27,114.980003,116.550003,114.790001,115.699997
2016-10-28,115.82,115.910004,114.57,115.330002
2016-10-31,115.279999,116.230003,114.5,115.989998
2016-11-1,114.760002,115.940002,114.629997,115.339996
2016-11-2,115.519997,115.760002,114.830002,114.860001
2016-11-3,114.879997,115.440002,114.75,115.029999
2016-11-4,115.040001,115.940002,115.040001,115.110001
2016-11-7,115.889999,116.720001,115.839996,116.660004
2016-11-8,116.480003,117.57,116.470001,117.050003
2016-11-9,120,122.5,118.099998,120.309998
2016-11-10,120.769997,121.099998,119.019997,119.540001
2016-11-11,119.489998,119.489998,118.129997,118.470001
2016-11-14,118.580002,118.989998,116.5,116.599998
2016-11-15,116.400002,116.690002,115.82,116.32
2016-11-16,116.650002,116.779999,116.080002,116.360001
2016-11-17,116.68,116.68,116.120003,116.57
2016-11-18,115.790001,115.919998,114.809998,115.360001
2016-11-21,115.440002,115.68,114.800003,115
2016-11-22,114.589996,115,112.269997,112.739998
2016-11-23,112.25,113.43,111.559998,113.07
2016-11-25,113.599998,114.230003,113.379997,114.129997
2016-11-28,113.790001,114.120003,113.050003,113.129997
2016-11-29,112.949997,113.410004,112.169998,112.480003
2016-11-30,112.190002,112.519997,111.300003,111.300003
2016-12-1,111.360001,111.540001,111,111.379997
2016-12-2,111.720001,112.529999,111.440002,111.959999
2016-12-5,112.400002,112.419998,111.730003,111.940002
2016-12-6,112.239998,113.199997,111.849998,112.059998
2016-12-7,111.889999,111.889999,109.32,111.099998
2016-12-8,110.540001,111.199997,109.93,110.989998
2016-12-9,111.410004,112.43,111.199997,112.260002
2016-12-12,112.690002,115.400002,112.580002,115.360001
2016-12-13,115.529999,115.970001,115.010002,115.889999
2016-12-14,116.120003,117.300003,114.580002,114.989998
2016-12-15,115.330002,115.919998,114.889999,115.889999
2016-12-16,116.410004,116.459999,115.459999,115.879997
2016-12-19,116.07,116.660004,115.940002,116.019997
2016-12-20,115.980003,116.25,114.910004,115.660004
2016-12-21,116.199997,116.199997,114.739998,115.309998
2016-12-22,115,115.529999,113.879997,115.440002
2016-12-23,115.400002,116.32,115.300003,115.959999
2016-12-27,115.889999,116,115.379997,115.910004
2016-12-28,115.879997,116.160004,115.050003,115.099998
2016-12-29,115.230003,115.870003,115.010002,115.489998
2016-12-30,115.800003,115.989998,114.980003,115.209999
2017-1-3,115.779999,116,115.230003,115.839996
2017-1-4,115.5,116.230003,115.309998,115.650002
2017-1-5,116,116.970001,115.440002,116.860001
2017-1-6,116.669998,117,115.760002,116.300003
2017-1-9,116.349998,116.610001,115.889999,116.279999
2017-1-10,116.029999,117,115.870003,116.160004
2017-1-11,116.080002,116.25,114.019997,114.730003
2017-1-12,114.269997,114.730003,113.370003,114.620003
2017-1-13,114.940002,115.019997,114.440002,114.599998
2017-1-17,113.940002,115.050003,113.669998,114.870003
2017-1-18,114.870003,115.099998,114.410004,114.699997
2017-1-19,114.68,114.900002,113.919998,114.199997
2017-1-20,114.489998,115.029999,114.080002,114.150002
2017-1-23,114.510002,114.769997,113.800003,113.910004
2017-1-24,112.910004,113.300003,111.150002,111.760002
2017-1-25,111.93,112.800003,110.760002,112.800003
2017-1-26,112,112.839996,111.599998,111.839996
2017-1-27,112,113.540001,111.900002,113.379997
2017-1-30,113.400002,113.599998,112.849998,113.129997
2017-1-31,112.790001,113.400002,112.43,113.25
2017-2-1,112.480003,113.32,112.470001,113.230003
2017-2-2,112.82,113.620003,112.769997,113.57
2017-2-3,113.5,113.660004,112.660004,113.639999
2017-2-6,113.459999,113.589996,112.620003,113.400002
2017-2-7,113.599998,113.620003,113.050003,113.480003
2017-2-8,113.300003,113.690002,113.150002,113.400002
2017-2-9,113.400002,114.650002,113.400002,114.080002
2017-2-10,114.32,115.989998,114.230003,115.239998
2017-2-13,115.279999,116.120003,115.220001,115.879997
2017-2-14,115.440002,116.400002,115.32,116.360001
2017-2-15,115.900002,117.459999,115.589996,117.199997
2017-2-16,117,118.279999,117,118.080002
2017-2-17,118.190002,118.900002,118.050003,118.860001
2017-2-21,118.400002,119.889999,118.32,119.660004
2017-2-22,119.279999,119.769997,119.25,119.519997
2017-2-23,119.519997,121.900002,119.480003,121.699997
2017-2-24,121.5,122.739998,120.900002,122.730003
2017-2-27,122.129997,122.879997,122.099998,122.400002
2017-2-28,122.010002,122.650002,121.940002,122.209999
2017-3-1,122.489998,124.449997,122.419998,123.860001
2017-3-2,123.75,124.360001,123.019997,123.629997
2017-3-3,123.629997,123.93,123.230003,123.790001
2017-3-6,123.010002,124.43,122.599998,123.709999
2017-3-7,122.580002,124.459999,122.389999,123.830002
2017-3-8,123.75,124.68,123.5,124.099998
2017-3-9,124.580002,126.209999,124.169998,125.949997
2017-3-10,126.040001,126.489998,125.540001,126.209999
2017-3-13,125.830002,126.949997,125.790001,126.68
2017-3-14,126.860001,127.75,126.769997,127.050003
2017-3-15,127.050003,129,126.599998,128.960007
2017-3-16,128.440002,128.699997,127.769997,128.460007
2017-3-17,128.449997,128.940002,127.949997,128.059998
2017-3-20,128.039993,128.419998,127.970001,128.070007
2017-3-21,128.380005,128.449997,127.139999,127.25
2017-3-22,127.050003,127.650002,126.209999,126.260002
2017-3-23,126.099998,127,125.660004,125.900002
2017-3-24,125.860001,126.360001,125.129997,125.480003
2017-3-27,125.160004,126.139999,125.150002,125.800003
2017-3-28,125.620003,125.779999,124.779999,125.660004
2017-3-29,125.050003,125.330002,124.360001,124.919998
2017-3-30,124.739998,125.43,124.279999,124.660004
2017-3-31,124.110001,124.830002,124.029999,124.550003
2017-4-3,124.730003,125.309998,124.279999,124.690002
2017-4-4,124.510002,124.769997,124.220001,124.68
2017-4-5,124.720001,125.599998,124.410004,124.800003
2017-4-6,124.849998,125.459999,124.5,125.050003
2017-4-7,125.120003,125.470001,124.830002,124.919998
2017-4-10,124.870003,124.949997,124.230003,124.339996
2017-4-11,124.260002,124.790001,123.949997,124.220001
2017-4-12,124.540001,125.459999,124.360001,125.400002
2017-4-13,125.129997,125.650002,124.959999,124.989998
2017-4-17,125.019997,125.809998,124.93,125.720001
2017-4-18,123.18,123.370003,120.949997,121.82
2017-4-19,122.099998,122.279999,121.110001,121.370003
2017-4-20,121.860001,122.150002,121.349998,121.870003
2017-4-21,121.779999,122.040001,121.540001,121.760002
2017-4-24,122.519997,123.209999,122.150002,122.889999
2017-4-25,123.339996,123.75,123.010002,123.43
2017-4-26,123.790001,124.260002,123.480003,123.510002
2017-4-27,123.580002,124.309998,123.400002,123.739998
2017-4-28,123.849998,123.900002,123.129997,123.470001
2017-5-1,123.400002,123.779999,123,123.339996
2017-5-2,123.519997,123.739998,122.889999,123.699997
2017-5-3,123.589996,123.699997,123.040001,123.330002
2017-5-4,123.690002,123.949997,123.230003,123.949997
2017-5-5,123.800003,123.800003,122.860001,123.510002
2017-5-8,123.529999,123.800003,123.019997,123.25
2017-5-9,123.230003,123.470001,122.879997,123.209999
2017-5-10,122.910004,123.059998,122.379997,122.809998
2017-5-11,122.5,123.209999,122.339996,123.199997
2017-5-12,123.110001,124.099998,123.010002,123.639999
2017-5-15,124.410004,127.360001,124.330002,126.989998
2017-5-16,127.339996,128.369995,127.059998,127.769997
2017-5-17,127.769997,127.889999,126.449997,126.669998
2017-5-18,126.459999,127.870003,125.959999,126.970001
2017-5-19,127.029999,127.389999,126.440002,127
2017-5-22,126.629997,127.650002,126.629997,127.260002
2017-5-23,127.309998,128.149994,127.309998,127.519997
2017-5-24,127.790001,128,127.290001,127.510002
2017-5-25,126.739998,127.620003,126.330002,127.529999
2017-5-26,127.230003,127.669998,126.830002,126.919998
2017-5-30,126.699997,127.389999,126.190002,127.110001
2017-5-31,127.349998,128.800003,127.349998,128.25
2017-6-1,128.320007,128.779999,128.119995,128.779999
2017-6-2,129.050003,130.139999,128.830002,130.080002
2017-6-5,129.970001,130.520004,129.800003,130.360001
2017-6-6,130.179993,131.330002,130.029999,130.830002
2017-6-7,131,131.479996,130.580002,130.75
2017-6-8,130.75,131.399994,129.960007,130.550003
2017-6-9,130.369995,131.699997,130.309998,131.529999
2017-6-12,131.529999,131.830002,131.419998,131.820007
2017-6-13,131.75,132.729996,131.399994,132.020004
2017-6-14,132.509995,133.559998,132.509995,132.770004
2017-6-15,132,133.350006,131.809998,133.039993
2017-6-16,133.720001,134.600006,133.039993,134.350006
2017-6-19,134.149994,134.679993,133.490005,134.070007
2017-6-20,133.899994,134.759995,133.899994,134.220001
2017-6-21,134.289993,135.110001,134.020004,134.910004
2017-6-22,135.449997,137,135.270004,136.050003
2017-6-23,135.449997,136.509995,135.320007,136.429993
2017-6-26,136.479996,136.899994,136.199997,136.339996
2017-6-27,136.5,136.729996,134.990005,135.009995
2017-6-28,135.949997,136.199997,133.570007,133.820007
2017-6-29,133.399994,133.729996,132.309998,132.639999
2017-6-30,132.699997,133.199997,132.279999,132.289993
2017-7-3,132.789993,133.320007,132.649994,132.899994
2017-7-5,132.979996,134.059998,132.419998,133.639999
2017-7-6,133.610001,133.970001,132.410004,132.520004
2017-7-7,132.910004,133,131.690002,132.539993
2017-7-10,132.740005,132.869995,131.229996,131.550003
2017-7-11,131.429993,131.789993,130.479996,131.229996
2017-7-12,132.039993,132.889999,131.770004,132.229996
2017-7-13,132.100006,132.220001,130.990005,131.860001
2017-7-14,132,133,131.740005,132.600006
2017-7-17,132.710007,132.929993,131.75,132.149994
2017-7-18,131.619995,134.949997,131.080002,134.460007
2017-7-19,134.839996,135.410004,134.520004,135.210007
2017-7-20,135.729996,137.080002,135.619995,136.570007
2017-7-21,135.330002,136.270004,135.100006,135.309998
2017-7-24,134.990005,135.160004,132.850006,133.009995
2017-7-25,133.740005,133.850006,131.449997,131.880005
2017-7-26,131.660004,132.240005,130.75,130.949997
2017-7-27,130.850006,131.149994,129.570007,130.830002
2017-7-28,131.139999,131.990005,130.520004,131.850006
2017-7-31,132.139999,133.580002,132.100006,132.720001
2017-8-1,133.169998,133.350006,132.279999,132.509995
2017-8-2,132.080002,132.5,131.5,132.160004
